Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,1.874664,0.539757,0.099486,0.345377,2.652717,0.114744,0.131427,0.269537,0.180224,4.217066,1.042500,8.640517,4.617872,1.516973,5.168410,6.530791,3.152182,4.253166,2.748996,4.129498,6.179973,4.693838
2,1.862185,0.216903,0.099486,0.345377,0.893958,0.114744,0.123188,0.269537,0.119142,1.603839,0.564836,3.826690,0.552275,0.240925,1.427773,2.940680,1.801659,0.177204,0.941976,1.140126,3.734187,1.678349
3,1.262284,0.024342,0.099486,0.279589,0.799373,0.096564,0.068834,0.269537,0.075657,1.449955,0.442562,2.248340,0.281105,0.115445,0.714995,1.376064,0.204409,0.119595,0.540551,0.338209,2.288244,0.822696
4,1.262284,0.024342,0.099486,0.023516,0.799373,0.084849,0.009304,0.204155,0.075657,1.307474,0.389044,1.798346,0.161616,0.100058,0.270800,1.016100,0.108455,0.071482,0.348984,0.144737,1.675585,0.569616
5,0.882778,0.024342,0.037829,0.007667,0.524304,0.041775,0.008811,0.142647,0.075657,1.307474,0.305328,1.533206,0.048464,0.083760,0.171922,0.819899,0.080909,0.023157,0.249779,0.094196,1.490350,0.459564
6,0.882778,0.024342,0.037829,0.002309,0.524304,0.032238,0.008811,0.102716,0.075657,1.307474,0.299846,1.393956,0.025510,0.065263,0.061364,0.716878,0.043180,0.009773,0.175906,0.082468,1.408580,0.398288
7,0.747835,0.015711,0.032110,0.000860,0.524304,0.007646,0.008811,0.102716,0.002873,1.307474,0.275034,1.113609,0.023365,0.037257,0.011027,0.635846,0.033568,0.009217,0.123381,0.062569,1.354759,0.340460
8,0.747835,0.003955,0.003084,0.000627,0.294562,0.007646,0.008811,0.102716,0.002873,0.987786,0.215990,0.931185,0.018280,0.030104,0.003639,0.544351,0.023344,0.009143,0.104874,0.041309,1.227279,0.293351
9,0.498874,0.003955,0.000116,0.000627,0.286020,0.007646,0.008811,0.011501,0.002821,0.930311,0.175068,0.798279,0.008437,0.019912,0.001505,0.444529,0.015263,0.009036,0.084977,0.009794,1.120024,0.251176
10,0.479940,0.003955,0.000010,0.000627,0.284600,0.007548,0.008811,0.011501,0.002479,0.930311,0.172978,0.649853,0.005043,0.005987,0.000942,0.337574,0.011111,0.008905,0.054647,0.003102,0.979897,0.205706
11,0.471885,0.003955,0.000010,0.000611,0.108364,0.007542,0.008811,0.011501,0.002479,0.680147,0.129530,0.516030,0.004053,0.000809,0.000630,0.266515,0.008700,0.008851,0.016199,0.002735,0.898275,0.172280
12,0.266143,0.003955,0.000007,0.000599,0.043925,0.006628,0.008811,0.011501,0.002351,0.525978,0.086990,0.458065,0.003955,0.000061,0.000610,0.184112,0.007729,0.008815,0.011691,0.002545,0.734727,0.141231
13,0.177803,0.003955,0.000003,0.000591,0.043925,0.006021,0.008811,0.011501,0.002351,0.468773,0.072373,0.365540,0.003955,0.000008,0.000600,0.085534,0.007204,0.008811,0.011616,0.002444,0.643470,0.112918
14,0.177803,0.003955,0.000001,0.000588,0.028470,0.006021,0.008811,0.011501,0.002351,0.217613,0.045711,0.253294,0.003955,0.000005,0.000592,0.053915,0.006637,0.008811,0.011538,0.002368,0.560298,0.090141
15,0.177803,0.003955,0.000001,0.000588,0.010405,0.006021,0.008811,0.011501,0.002351,0.217613,0.043905,0.186085,0.003955,0.000001,0.000589,0.034158,0.006205,0.008811,0.011504,0.002355,0.422882,0.067654
16,0.044288,0.003955,0.000001,0.000588,0.010405,0.006019,0.008811,0.011501,0.002351,0.217613,0.030553,0.166270,0.003955,0.000001,0.000588,0.021992,0.006022,0.008811,0.011501,0.002352,0.300193,0.052168
17,0.044288,0.003955,0.000001,0.000588,0.010405,0.006019,0.008811,0.011501,0.002351,0.123725,0.021164,0.162906,0.003955,0.000001,0.000588,0.015946,0.006021,0.008811,0.011501,0.002351,0.247245,0.045932
18,0.044288,0.003955,0.000001,0.000588,0.001036,0.006019,0.008811,0.011501,0.002351,0.100738,0.017929,0.129557,0.003955,0.000001,0.000588,0.011043,0.006020,0.008811,0.011501,0.002351,0.178809,0.035264
19,0.016045,0.003955,0.000001,0.000588,0.000273,0.006019,0.008811,0.011501,0.002351,0.100738,0.015028,0.057120,0.003955,0.000001,0.000588,0.007127,0.006020,0.008811,0.011501,0.002351,0.125961,0.022344
20,0.016045,0.003955,0.000001,0.000588,0.000196,0.006019,0.008811,0.011501,0.002351,0.030509,0.007998,0.033094,0.003955,0.000001,0.000588,0.005050,0.006019,0.008811,0.011501,0.002351,0.091891,0.016326
21,0.013321,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.019568,0.006622,0.016662,0.003955,0.000001,0.000588,0.000474,0.006019,0.008811,0.011501,0.002351,0.055527,0.010589
22,0.006461,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.012802,0.005259,0.014218,0.003955,0.000001,0.000588,0.000164,0.006019,0.008811,0.011501,0.002351,0.025457,0.007306
23,0.002374,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009748,0.004545,0.011966,0.003955,0.000001,0.000588,0.000123,0.006019,0.008811,0.011501,0.002351,0.016984,0.006230
24,0.001470,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009288,0.004408,0.007863,0.003955,0.000001,0.000588,0.000103,0.006019,0.008811,0.011501,0.002351,0.013088,0.005428
25,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009288,0.004305,0.003663,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.010421,0.004741
26,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.001302,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009515,0.004414
27,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.001096,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009378,0.004380
28,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000842,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009356,0.004352
29,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000518,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009282,0.004313
30,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000447,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009245,0.004302
31,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009228,0.004299
32,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009225,0.004299
33,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299
34,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299
35,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299
36,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299
37,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299,0.000440,0.003955,0.000001,0.000588,0.000100,0.006019,0.008811,0.011501,0.002351,0.009224,0.004299
