Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,1.325378,0.914826,0.885689,1.272987,3.099899,1.399846,2.125074,1.317332,0.043114,0.125703,1.250985,5.145171,5.334079,9.372928,9.153045,11.960180,8.419995,11.711533,3.695547,1.750152,3.093622,6.963625
2,1.325378,0.911981,0.885689,0.512846,2.172426,0.152289,2.125074,0.603892,0.043114,0.025403,0.875809,2.824485,2.015283,2.610784,1.903947,4.967934,2.195102,7.836717,1.487999,0.155212,0.400109,2.639757
3,1.080046,0.009158,0.651019,0.238574,0.612260,0.079593,1.554662,0.548379,0.040040,0.025403,0.483913,1.792127,0.484212,0.855014,0.456138,1.852213,0.499209,4.875813,0.858678,0.087004,0.079257,1.183966
4,0.001039,0.009158,0.598391,0.073965,0.612260,0.043859,1.380426,0.396814,0.040040,0.010036,0.316599,1.038571,0.176580,0.715885,0.250437,1.114612,0.089521,1.924278,0.571864,0.048804,0.024905,0.595546
5,0.001039,0.007493,0.445981,0.048306,0.010340,0.043859,1.380426,0.359305,0.040040,0.003327,0.234011,0.239424,0.070875,0.602059,0.137078,0.456458,0.061158,1.476094,0.485043,0.044373,0.009603,0.358217
6,0.000163,0.001278,0.379951,0.048306,0.010340,0.038160,0.936592,0.115804,0.028185,0.000725,0.155950,0.023638,0.008758,0.508682,0.078717,0.128659,0.045345,1.316032,0.327723,0.037487,0.004394,0.247944
7,0.000087,0.001278,0.261933,0.048128,0.010340,0.038160,0.818561,0.115804,0.028185,0.000276,0.132275,0.001663,0.003412,0.403905,0.058970,0.048575,0.042667,1.186148,0.248964,0.031526,0.002690,0.202852
8,0.000078,0.001278,0.085511,0.041532,0.010340,0.007709,0.606164,0.115804,0.003998,0.000242,0.087266,0.000182,0.002713,0.276749,0.049777,0.034730,0.034022,0.903691,0.200346,0.022318,0.001278,0.152581
9,0.000060,0.001278,0.085511,0.027811,0.010340,0.003849,0.419667,0.024515,0.001868,0.000242,0.057514,0.000113,0.002377,0.196627,0.045218,0.023073,0.014338,0.723166,0.120660,0.013594,0.000402,0.113957
10,0.000060,0.001278,0.024644,0.027811,0.000411,0.003849,0.263049,0.024515,0.000891,0.000242,0.034675,0.000072,0.001649,0.097918,0.044651,0.013605,0.004944,0.549901,0.045863,0.006943,0.000251,0.076580
11,0.000060,0.001278,0.024644,0.013247,0.000411,0.003849,0.263049,0.024515,0.000891,0.000242,0.033219,0.000063,0.001402,0.055062,0.038480,0.010305,0.003938,0.415598,0.027716,0.002841,0.000246,0.055565
12,0.000060,0.001278,0.006921,0.005326,0.000411,0.003849,0.170820,0.024515,0.000878,0.000242,0.021430,0.000061,0.001342,0.033934,0.021611,0.005205,0.003849,0.327868,0.026857,0.001650,0.000243,0.042262
