Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
27,0.000858,0.000100,0.010604,0.000115,0.000321,0.000242,0.350196,0.051836,0.000906,0.001312,0.041649,0.042036,0.000559,0.013664,0.000203,0.006626,0.009343,0.605334,0.176435,0.009863,0.013486,0.087755
28,0.000858,0.000100,0.010604,0.000115,0.000321,0.000242,0.350196,0.051836,0.000906,0.000947,0.041612,0.042579,0.000448,0.014089,0.000198,0.012416,0.014910,0.630408,0.153114,0.009285,0.010388,0.088784
29,0.000858,0.000100,0.004957,0.000115,0.000321,0.000242,0.263537,0.051836,0.000906,0.000751,0.032362,0.035237,0.000324,0.031833,0.005969,0.010349,0.004014,0.544767,0.119746,0.009120,0.028210,0.078957
30,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.263537,0.051836,0.000906,0.000302,0.032302,0.027613,0.006871,0.021385,0.000202,0.005881,0.004764,0.544825,0.118675,0.009148,0.009395,0.074876
31,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.263537,0.031413,0.000906,0.000022,0.030232,0.033792,0.000226,0.014747,0.000198,0.005915,0.008105,0.574507,0.085371,0.010547,0.008539,0.074195
32,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.262431,0.031413,0.000906,0.000022,0.030121,0.022814,0.006870,0.010212,0.006919,0.025968,0.002283,0.519345,0.071473,0.021904,0.013032,0.070082
33,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.262431,0.021546,0.000906,0.000022,0.029135,0.036243,0.019802,0.027589,0.005972,0.016590,0.000987,0.482625,0.050107,0.014706,0.011525,0.066615
34,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.118698,0.008759,0.000906,0.000022,0.013483,0.022006,0.013976,0.019911,0.024223,0.008767,0.000979,0.429540,0.024735,0.009398,0.010648,0.056418
35,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.118698,0.008759,0.000906,0.000022,0.013483,0.017292,0.001422,0.018750,0.006459,0.007561,0.008657,0.406123,0.020597,0.016408,0.007503,0.051077
36,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.075158,0.000060,0.000906,0.000011,0.008258,0.016391,0.006952,0.016143,0.003057,0.007674,0.000913,0.350988,0.014764,0.009397,0.002959,0.042924
37,0.000858,0.000100,0.004806,0.000115,0.000321,0.000242,0.075158,0.000060,0.000906,0.000011,0.008258,0.018013,0.013602,0.022674,0.003052,0.004452,0.000912,0.353544,0.012568,0.013934,0.003202,0.044595
38,0.000858,0.000100,0.002529,0.000115,0.000321,0.000242,0.075158,0.000060,0.000906,0.000011,0.008030,0.025979,0.026692,0.015790,0.008724,0.007658,0.006510,0.303905,0.015676,0.012254,0.002466,0.042565
39,0.000858,0.000100,0.002529,0.000115,0.000321,0.000242,0.056988,0.000060,0.000906,0.000011,0.006213,0.028161,0.020729,0.019587,0.006209,0.007561,0.008814,0.246856,0.012696,0.007862,0.001624,0.036010
40,0.000858,0.000100,0.002529,0.000092,0.000321,0.000242,0.056988,0.000054,0.000906,0.000011,0.006210,0.018663,0.019022,0.014126,0.004341,0.007526,0.000916,0.249874,0.010943,0.004874,0.001401,0.033169
