Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
27,0.000038,0.003922,0.002732,0.000113,0.000429,0.000014,0.001499,2.047634,0.294636,0.011890,0.236291,0.000226,0.009455,0.002768,0.000113,0.012308,0.012207,0.006982,2.883045,0.610871,0.061418,0.359939
28,0.000038,0.003922,0.002732,0.000113,0.000429,0.000014,0.001499,2.047634,0.286746,0.008827,0.235195,0.019119,0.008840,0.010182,0.006171,0.008915,0.000031,0.004625,2.784142,0.539103,0.031007,0.341214
29,0.000030,0.003922,0.002732,0.000113,0.000429,0.000014,0.001499,1.943115,0.092218,0.008827,0.205290,0.006034,0.008537,0.002768,0.000113,0.007492,0.006295,0.003207,2.576180,0.463199,0.019916,0.309374
30,0.000008,0.003922,0.002732,0.000113,0.000429,0.000014,0.001499,1.436763,0.092218,0.008827,0.154652,0.000031,0.010318,0.002768,0.000113,0.002111,0.006290,0.002515,2.228323,0.435852,0.012982,0.270130
31,0.000008,0.003922,0.002732,0.000113,0.000429,0.000014,0.001499,1.015828,0.092218,0.008827,0.112559,0.000021,0.017749,0.006659,0.006171,0.005813,0.000017,0.001962,1.931356,0.372664,0.010888,0.235330
32,0.000008,0.000730,0.002732,0.000113,0.000429,0.000014,0.001499,1.015828,0.092218,0.008827,0.112240,0.000012,0.007208,0.002768,0.006554,0.000431,0.000016,0.001962,1.619473,0.227518,0.009240,0.187518
33,0.000008,0.000700,0.002732,0.000113,0.000429,0.000014,0.001499,0.815056,0.092218,0.008827,0.092160,0.000009,0.004496,0.002768,0.006554,0.000431,0.000014,0.001962,1.377375,0.180703,0.008986,0.158330
34,0.000008,0.000590,0.002732,0.000113,0.000429,0.000014,0.001499,0.815056,0.029140,0.008827,0.085841,0.000008,0.002523,0.002768,0.012309,0.007252,0.000014,0.006767,1.248729,0.147051,0.012867,0.144029
35,0.000008,0.000585,0.002732,0.000113,0.000429,0.000014,0.001499,0.815056,0.029140,0.008827,0.085840,0.006240,0.001691,0.010551,0.006171,0.012928,0.000014,0.019500,0.986675,0.092093,0.010912,0.114677
36,0.000008,0.000585,0.000947,0.000113,0.000429,0.000014,0.001499,0.354643,0.029140,0.008827,0.039621,0.001067,0.002411,0.002585,0.000113,0.013711,0.000014,0.006799,0.836703,0.037653,0.014814,0.091587
37,0.000008,0.000585,0.000548,0.000113,0.000300,0.000014,0.001499,0.354643,0.027347,0.008827,0.039388,0.000008,0.000601,0.006091,0.006857,0.011480,0.000014,0.014462,0.635514,0.034044,0.008844,0.071792
38,0.000008,0.000585,0.000548,0.000113,0.000300,0.000014,0.001499,0.189927,0.027347,0.008827,0.022917,0.000008,0.000596,0.012348,0.013022,0.000404,0.006160,0.014229,0.536037,0.030372,0.008833,0.062201
39,0.000008,0.000585,0.000548,0.000113,0.000300,0.000014,0.001499,0.144876,0.024511,0.008827,0.018128,0.000008,0.000590,0.017357,0.012309,0.000353,0.004475,0.004634,0.329960,0.028757,0.008833,0.040728
40,0.000008,0.000585,0.000548,0.000113,0.000300,0.000014,0.001499,0.144876,0.024281,0.008827,0.018105,0.006249,0.000589,0.001538,0.012125,0.000314,0.000058,0.001962,0.241478,0.028612,0.008833,0.030176
