Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,1.536654,3.126910,1.854608,0.529291,2.567570,4.424970,2.518842,1.062988,2.424795,2.071659,2.211829,7.432537,8.072447,4.136509,12.890181,8.247095,24.716331,14.603721,8.890125,13.961687,5.451073,10.840171
2,1.064563,3.126910,1.854608,0.529291,2.567570,4.424970,2.518842,1.062988,2.424795,1.815406,2.138994,1.634343,3.234251,1.854608,5.065202,4.407985,13.132442,6.426744,3.419237,8.063005,3.991901,5.122972
3,0.637040,3.126910,1.854608,0.529291,2.567570,3.606651,2.518842,1.062988,0.406892,1.815406,1.812620,1.144452,3.126910,1.854608,1.162631,3.997557,5.245314,2.723910,1.997850,5.014635,2.690900,2.895877
4,0.637040,3.126910,1.654170,0.529291,1.729540,3.606651,2.377275,1.062988,0.406892,1.160358,1.629112,1.019976,3.126910,1.834565,0.529291,3.237024,4.373846,2.504685,1.751225,3.683976,1.872153,2.393365
5,0.637040,0.548217,1.654170,0.529291,1.279558,3.606651,2.230624,1.062988,0.406892,1.136171,1.309160,0.895444,2.095433,1.834565,0.529291,2.517742,4.231169,2.475863,1.517202,2.055335,1.570726,1.972277
6,0.637040,0.240209,1.654170,0.529291,1.223572,3.606651,2.230624,0.886000,0.406892,0.644179,1.205863,0.822928,0.710569,1.814521,0.529291,1.565940,3.956670,2.475863,1.253828,1.237868,1.286589,1.565407
7,0.637040,0.019544,1.654170,0.529291,0.198790,3.606651,2.230624,0.539946,0.406892,0.644179,1.046713,0.756677,0.377788,1.754389,0.529291,0.988334,3.777914,2.475863,0.942412,0.932284,1.136930,1.367188
8,0.637040,0.019544,0.350198,0.529291,0.198790,3.606651,2.230624,0.539946,0.406892,0.644179,0.916315,0.739740,0.154497,1.527846,0.529291,0.779783,3.707995,2.447416,0.798639,0.716314,0.978535,1.238006
9,0.637040,0.009078,0.167280,0.529291,0.198790,3.606651,2.230624,0.539946,0.406892,0.644179,0.896977,0.718936,0.028576,0.842882,0.529291,0.577713,3.645880,2.447416,0.654694,0.588312,0.836630,1.087033
10,0.637040,0.009078,0.167280,0.529291,0.198790,3.606651,2.160483,0.522532,0.406892,0.644179,0.888221,0.676735,0.015735,0.454705,0.529291,0.469812,3.630572,2.299894,0.570422,0.493142,0.689991,0.983030
11,0.598288,0.009078,0.167280,0.529291,0.198790,3.606651,2.160483,0.522532,0.406892,0.644179,0.884346,0.646702,0.011811,0.298295,0.529291,0.340778,3.623429,2.267217,0.534536,0.436030,0.658244,0.934633
12,0.572504,0.009078,0.167280,0.529291,0.198790,3.606651,2.160483,0.522457,0.167772,0.644179,0.857848,0.621775,0.009115,0.235393,0.529291,0.256563,3.620232,2.232314,0.529486,0.387250,0.650674,0.907209
13,0.572504,0.009078,0.167280,0.529291,0.178895,3.606651,2.160483,0.522457,0.167772,0.644179,0.855859,0.588681,0.009090,0.192264,0.529291,0.211075,3.616076,2.225427,0.527092,0.349821,0.648408,0.889722
14,0.572504,0.009078,0.167280,0.529291,0.178895,3.606651,2.114663,0.522457,0.167772,0.644179,0.851277,0.576449,0.009082,0.173212,0.529291,0.205466,3.613236,2.212937,0.525122,0.316039,0.646031,0.880687
15,0.571494,0.009078,0.167280,0.529291,0.178895,3.606651,1.986444,0.522457,0.167772,0.644179,0.838354,0.573290,0.009078,0.171530,0.529291,0.193713,3.609329,2.104287,0.523933,0.281017,0.645744,0.864121
16,0.571476,0.009078,0.167280,0.529291,0.178895,3.606651,1.977687,0.522371,0.167772,0.644179,0.837468,0.572549,0.009078,0.168813,0.529291,0.193459,3.607743,2.050476,0.522566,0.245903,0.645466,0.854534
17,0.571476,0.009078,0.167280,0.529291,0.178895,3.606651,1.976772,0.522368,0.167772,0.644179,0.837376,0.572160,0.009078,0.167625,0.529291,0.193129,3.607066,2.017380,0.522432,0.191193,0.645274,0.845463
18,0.571476,0.009078,0.167280,0.529291,0.178895,3.606651,1.976772,0.522357,0.167772,0.644179,0.837375,0.571727,0.009078,0.167383,0.529291,0.192851,3.606881,1.996533,0.522393,0.185037,0.645187,0.842636
19,0.571476,0.009078,0.167280,0.529291,0.178895,3.606651,1.976772,0.522353,0.167772,0.644179,0.837375,0.571634,0.009078,0.167302,0.529291,0.190832,3.606775,1.981617,0.522367,0.181722,0.645050,0.840567
20,0.571475,0.009078,0.167280,0.529291,0.178895,3.606651,1.976473,0.522353,0.167772,0.644179,0.837345,0.571532,0.009078,0.167283,0.529291,0.190832,3.606675,1.978639,0.522358,0.175392,0.644984,0.839606
21,0.571475,0.009078,0.167280,0.529291,0.178895,3.606651,1.976419,0.522353,0.167772,0.644179,0.837339,0.571488,0.009078,0.167280,0.529291,0.184863,3.606657,1.976850,0.522356,0.172713,0.644874,0.838545
22,0.571475,0.009078,0.167280,0.529291,0.178895,3.606651,1.976419,0.522353,0.167772,0.644179,0.837339,0.571481,0.009078,0.167280,0.529291,0.182874,3.606653,1.976457,0.522355,0.169641,0.644763,0.837987
23,0.571475,0.009078,0.167280,0.529291,0.178895,3.606651,1.976419,0.522353,0.167772,0.644179,0.837339,0.571477,0.009078,0.167280,0.529291,0.178895,3.606653,1.976427,0.522354,0.168283,0.644654,0.837439
