Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,3.715473,0.307784,2.039450,13.453007,0.311097,2.661823,6.435744,2.138679,7.152537,1.242885,3.945848,22.869099,32.270081,26.687739,32.746367,23.312105,26.899824,70.100748,85.262935,61.383398,42.098388,42.363068
2,3.655501,0.307784,2.039450,13.453007,0.290880,0.829522,5.796339,1.564166,5.654096,1.242885,3.483363,6.078914,5.643003,10.847281,26.375747,1.422297,2.616655,7.835415,13.460131,25.812288,8.522064,10.861380
3,3.655501,0.307784,1.689356,4.041851,0.290880,0.829522,5.609705,1.564166,5.654096,1.242885,2.488575,5.403163,1.048429,3.146493,15.560138,0.528619,2.576765,7.362157,15.843090,10.815563,1.242885,6.352730
4,3.655501,0.307784,1.535886,3.901280,0.290880,0.579407,5.609705,0.407616,5.654096,1.242885,2.318504,4.722218,0.840973,2.632876,10.843321,0.496996,2.143700,9.390094,5.982428,9.073730,1.242885,4.736922
5,3.655501,0.292065,1.270752,3.897362,0.290880,0.579407,5.609705,0.293723,5.654096,1.242885,2.278638,4.268811,0.843685,1.871619,7.655619,0.826144,1.969760,8.210744,1.014134,12.298439,1.313925,4.027288
6,3.655501,0.292065,1.270752,3.897362,0.000076,0.049849,5.609705,0.275720,5.654096,1.242885,2.194801,4.224293,0.312657,1.799705,7.211329,1.618904,1.180234,8.195290,0.523009,7.009440,1.313925,3.338879
7,3.655501,0.292065,1.270752,3.870552,0.000076,0.049849,5.609705,0.275720,5.654096,1.242885,2.192120,3.688884,4.901148,1.770905,5.923221,1.104518,1.663068,6.577342,0.310227,6.899283,2.421844,3.526044
8,3.655501,0.292065,1.258895,3.870552,0.000076,0.049849,5.609705,0.275720,5.654096,1.242885,2.190934,4.543593,0.314574,1.587239,5.435547,0.913375,1.922348,6.675360,0.291956,6.675882,1.242885,2.960276
9,3.572273,0.292065,1.258895,3.870552,0.000076,0.049849,5.609705,0.275720,5.654096,1.242885,2.182612,3.665007,0.313085,1.493214,5.969145,0.760071,2.085080,7.092341,0.287879,6.459704,1.242885,2.936841
10,3.572273,0.292065,1.236465,3.870552,0.000076,0.049849,5.609705,0.275720,5.654096,1.242885,2.180369,3.657683,0.312086,1.453636,4.988187,0.380547,2.035855,7.152229,0.285146,7.446994,1.242885,2.895525
11,3.572273,0.292065,0.774819,3.604012,0.000076,0.049849,5.609705,0.275720,5.654096,1.242885,2.107550,3.624565,5.418235,1.352959,4.769768,0.644643,2.567413,6.029827,0.880427,6.273731,1.313925,3.287549
12,3.572273,0.292065,0.643712,3.604012,0.000076,0.049849,5.609705,0.275720,5.654096,0.119369,1.982088,3.607207,2.093409,1.130310,4.007504,2.577819,0.584018,5.856762,0.277067,6.202326,1.115622,2.745204
13,3.572273,0.273235,0.643712,3.137346,0.000076,0.049849,5.609705,0.275720,5.654096,0.062052,1.927806,3.611155,0.306625,0.983771,3.711310,1.685161,0.152144,5.678914,0.277066,6.172832,0.866715,2.344569
14,3.572273,0.273235,0.643712,2.979031,0.000076,0.049849,5.609705,0.275720,5.654096,0.031021,1.908872,3.593101,4.896912,2.033453,3.447582,0.434784,0.144682,5.632122,0.898451,6.156475,0.643986,2.788155
15,3.572273,0.272851,0.643712,2.979031,0.000076,0.049849,5.609705,0.275720,5.654096,0.015598,1.907291,4.778763,0.829263,2.714877,3.396602,0.671513,0.583571,9.090434,0.275991,6.156514,0.326110,2.882364
16,3.572273,0.272851,0.643712,2.979031,0.000076,0.049849,5.609705,0.275720,5.654096,0.015470,1.907278,4.999076,0.833109,1.948469,3.239434,0.731947,0.147575,9.653957,0.275916,6.721809,3.044182,3.159548
17,3.572273,0.272749,0.643712,2.954117,0.000076,0.049849,5.609705,0.275720,5.654096,0.015470,1.904777,4.504782,0.285729,1.681609,3.948045,0.615551,0.139667,6.874409,0.275868,6.143484,0.898121,2.536727
18,3.566116,0.272749,0.643712,2.932876,0.000076,0.049849,5.609705,0.275720,5.654096,0.015470,1.902037,4.561496,0.286575,1.175727,4.044914,0.587418,0.154051,7.465300,0.275812,6.142186,0.655984,2.534946
19,3.566116,0.272749,0.643712,2.932876,0.000016,0.048749,5.609705,0.275720,5.654096,0.015470,1.901921,3.999477,0.273137,1.198002,4.699587,0.584903,0.133682,6.215905,0.275753,6.141941,0.630378,2.415276
20,2.965093,0.272749,0.562204,2.932876,0.000016,0.048749,5.609705,0.275720,5.654096,0.015470,1.833668,4.228871,0.897433,1.381154,5.386561,0.579928,0.800802,5.979785,0.275748,6.141571,0.628789,2.630064
21,2.965093,0.272749,0.562204,2.926190,0.000016,0.048749,5.609705,0.275720,5.654096,0.015470,1.832999,4.670028,5.152138,2.055217,3.698740,0.001959,1.069977,5.611595,0.275723,6.141309,0.016920,2.869361
22,2.965093,0.272749,0.562204,2.926190,0.000016,0.048749,5.609705,0.275720,5.654096,0.015470,1.832999,7.423778,5.152133,1.757281,2.995138,0.628223,0.723259,5.610958,0.275722,6.141330,0.016700,3.072452
23,2.965093,0.272749,0.562204,2.926190,0.000016,0.048749,5.609705,0.275720,5.654096,0.015470,1.832999,4.443372,0.897891,1.217206,2.979532,0.627676,0.068834,9.339952,0.275722,6.141248,0.016457,2.600789
24,2.965093,0.272749,0.562204,2.924185,0.000016,0.048542,5.609705,0.275720,5.654096,0.015470,1.832778,3.725360,0.272754,1.145634,2.950206,0.552656,0.053320,5.610008,0.275722,6.813478,0.624198,2.202334
25,2.965093,0.272749,0.562204,2.921386,0.000016,0.048542,5.609705,0.275720,5.654096,0.015470,1.832498,3.569429,20.927465,0.794554,2.934235,0.000342,1.227659,6.231538,0.275721,6.145696,0.016073,4.212271
26,2.965093,0.272749,0.562204,2.921386,0.000016,0.048542,5.609705,0.275720,5.654096,0.015470,1.832498,3.569359,0.272753,0.796714,2.930682,1.925374,0.617175,6.855466,0.275721,6.141001,0.016194,2.340044
27,2.965093,0.272749,0.562204,2.921386,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.832494,3.568366,0.898806,1.454797,2.926044,0.000380,0.049201,5.609860,0.275721,6.140897,0.654645,2.157872
28,2.965093,0.272749,0.562204,2.921386,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.832494,4.874775,0.272753,0.815399,2.925697,0.000294,0.048982,5.609723,3.613835,6.140890,0.016067,2.431842
29,2.965093,0.272749,0.562204,2.921386,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.832494,3.568242,0.272753,0.956250,2.924555,0.980787,0.048714,5.609708,4.238294,6.140878,0.016040,2.475622
30,2.965093,0.272749,0.562204,2.921386,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.832494,3.567921,10.624343,1.023261,2.923099,2.917150,0.122890,5.609706,0.275721,6.140897,2.061258,3.526625
31,2.965093,0.272749,0.562204,2.921386,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.832494,6.325099,2.484491,0.798838,3.686188,0.630151,0.099474,9.363584,0.900156,6.140859,0.627616,3.105646
32,2.965093,0.272749,0.562204,2.236193,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.763975,4.863252,3.399256,0.900661,4.154263,0.292173,0.730779,5.609706,1.524602,9.211785,0.015999,3.070248
33,2.965093,0.272749,0.562204,2.236193,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.763975,5.530526,0.272753,0.768639,3.378689,0.697742,0.679977,5.609705,0.900167,6.723644,0.016005,2.457785
34,2.965093,0.272749,0.562204,2.236193,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.763975,4.237381,0.896728,0.778546,2.800596,0.156584,0.048620,5.609705,0.900167,6.723644,0.016011,2.216798
35,2.965093,0.272749,0.562204,2.236193,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.763975,4.110878,5.760519,1.295348,2.764799,2.627825,0.048626,5.609705,0.275721,7.908384,0.016010,3.041781
36,2.965093,0.272749,0.562204,2.236193,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.763975,4.681458,5.760528,0.739324,2.724409,0.616057,0.048626,5.609705,0.275721,6.140833,0.016004,2.661266
37,2.965093,0.272749,0.562204,2.236193,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.763975,4.681450,0.272753,0.798111,2.668503,0.000311,0.048625,6.234621,0.275721,10.704496,0.015998,2.570059
38,2.965093,0.272749,0.562204,2.236193,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.763975,4.167273,4.219300,0.846714,2.573419,0.633905,0.680040,5.609705,0.275721,15.268355,0.015999,3.429043
39,2.965093,0.272749,0.562204,1.740254,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.714381,3.567611,0.272753,0.792159,2.899288,0.000306,0.048620,6.234510,0.275721,11.287245,0.015996,2.539421
40,2.965093,0.272749,0.562204,1.740254,0.000016,0.048505,5.609705,0.275720,5.654096,0.015470,1.714381,4.144326,5.136538,0.735768,3.338947,0.616314,0.048615,5.609705,0.275721,6.723584,2.486955,2.911647
