Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,4.556296,3.319060,1.329206,0.440374,2.843468,0.988052,1.848214,20.671447,0.490948,0.443461,3.693053,74.427432,120.612754,7.279426,41.081492,65.921416,12.214879,59.682827,230.584072,74.627411,19.129185,70.556089
2,2.129133,0.662909,1.126071,0.440374,2.843468,0.988052,0.998153,20.671447,0.490948,0.443461,3.079402,29.967230,77.675777,2.962990,10.646649,30.622310,20.189409,20.516955,100.269549,4.029977,9.317570,30.619842
3,0.204547,0.662909,0.732090,0.440374,2.843468,0.988052,0.998153,5.112678,0.490948,0.443461,1.291668,7.902738,63.761492,1.986079,3.076924,9.280610,27.208033,7.230541,47.085305,2.837671,1.590647,17.196004
4,0.204547,0.662909,0.732090,0.440374,2.843468,0.988052,0.998153,5.112678,0.490948,0.217990,1.269121,5.177601,36.187951,1.183584,2.070420,6.802934,9.758117,3.320864,24.851230,2.781549,0.860670,9.299492
5,0.204547,0.662909,0.420183,0.440374,1.876429,0.988052,0.998153,4.376959,0.358086,0.217990,1.054368,2.424257,21.184664,0.982287,2.562799,5.996727,16.418373,2.098199,12.769125,3.252348,0.697614,6.838639
6,0.204547,0.662909,0.420183,0.440374,1.867455,0.988052,0.988419,4.376959,0.358086,0.217990,1.052497,1.952887,11.911625,0.808256,0.977600,4.888710,31.699539,1.587840,8.746632,2.236176,0.822916,6.563218
7,0.204547,0.662909,0.420183,0.440374,1.867455,0.988052,0.988419,4.376959,0.358086,0.079152,1.038614,1.175079,6.504072,0.681109,0.860299,4.937397,24.062934,1.779568,5.176161,2.297167,0.748998,4.822278
8,0.204547,0.662909,0.420183,0.440374,1.867455,0.988052,0.868589,4.335791,0.358086,0.079152,1.022514,0.308234,4.663379,0.614717,0.598876,5.309296,16.843879,2.086104,4.741043,1.135536,1.087500,3.738856
9,0.204547,0.662909,0.420183,0.440374,1.867455,0.988052,0.868589,4.333292,0.358086,0.079152,1.022264,1.243071,4.284686,1.507287,0.579448,4.765721,13.031168,1.192538,6.717496,0.791167,0.342220,3.445480
10,0.204547,0.662909,0.420183,0.440374,1.867455,0.988052,0.621970,4.333292,0.358086,0.079152,0.997602,0.796216,3.705230,0.533824,0.446184,3.737193,19.685136,1.307115,4.463047,1.307989,0.834455,3.681639
11,0.204547,0.662909,0.420183,0.232502,1.867455,0.988052,0.606913,4.332440,0.358086,0.079152,0.975224,0.279192,3.180618,0.425930,0.420692,2.771384,73.482777,1.184814,5.736099,0.579953,0.518240,8.857970
12,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.605528,4.332440,0.358086,0.079152,0.942665,0.237199,3.133745,0.424801,0.420468,2.039860,42.412331,1.731217,5.761225,0.482318,0.158494,5.680166
13,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.602529,4.332440,0.358086,0.079152,0.942365,0.236629,3.694228,1.037832,0.596656,2.579410,46.201765,1.391926,14.809791,0.619110,0.859640,7.202699
14,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.920354,0.201426,2.996010,0.421345,0.395526,2.094781,37.431489,1.157011,8.550630,0.398932,0.091637,5.373879
15,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.920354,0.175229,2.973139,0.421166,0.383870,2.520100,9.549653,0.613576,5.589268,0.953538,0.085841,2.326538
16,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.920354,1.384421,3.516282,0.571965,0.375230,2.520406,20.274386,0.604400,7.080084,0.886869,0.085165,3.729921
17,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.920354,0.147340,4.173131,0.421157,0.375129,3.601133,1.332954,0.964609,4.933602,0.215024,0.080245,1.624432
18,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.920354,0.145788,3.768386,0.990421,0.333760,2.851980,3.524141,0.699557,4.919609,0.186115,0.079474,1.749923
19,0.135435,0.662909,0.420183,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.920354,0.145788,3.572120,0.422169,0.309639,2.766202,1.161769,0.603906,4.969189,0.187468,0.079242,1.421749
20,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,0.145788,3.541997,0.963621,0.303714,4.034548,0.977941,1.307441,4.337567,0.781098,0.664562,1.705828
21,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,0.740678,2.867952,0.963621,0.298685,2.733730,1.197958,0.603514,6.500925,0.180936,0.667146,1.675514
22,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,0.234208,2.791099,1.098732,0.278966,1.941683,0.958886,0.603507,5.568417,0.147074,0.664512,1.428708
23,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,1.433328,2.751026,2.214434,0.753315,1.941675,0.777767,1.491932,6.186354,0.145388,0.664512,1.835973
24,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,1.472842,2.673579,1.285199,0.301233,2.079054,0.959667,0.944627,5.573561,0.141218,0.079152,1.551013
25,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,0.135435,2.609494,0.643445,0.747976,1.941675,2.870148,0.603278,4.760593,0.139382,1.249872,1.570130
26,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,0.780192,2.588232,0.625333,0.747900,1.941674,0.752834,1.311684,4.337570,0.734322,0.967961,1.478770
27,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,2.178781,2.574212,0.621978,1.047758,1.941672,3.953000,0.661195,4.958439,0.735936,0.664512,1.933748
28,0.135435,0.662909,0.153160,0.232502,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.893652,0.926553,3.307094,0.323239,1.524924,2.657646,0.942924,1.143141,5.692753,1.329879,0.743792,1.859195
29,0.135435,0.662909,0.153160,0.224192,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.892821,0.783884,2.843298,0.186809,0.761822,1.941672,0.942381,0.602435,6.317291,0.732527,0.966179,1.607830
30,0.135435,0.662909,0.153160,0.224192,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.892821,0.135435,2.515403,0.728771,0.750335,2.079051,0.942315,0.602434,5.278312,2.180095,0.118165,1.533031
31,0.135435,0.662909,0.153160,0.224192,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.892821,1.433328,2.513792,0.728192,1.989994,3.462828,1.540182,0.970847,4.613320,1.564245,0.742537,1.955926
32,0.135435,0.662909,0.153160,0.224192,1.867455,0.732957,0.602430,4.332440,0.138082,0.079152,0.892821,0.740678,2.559150,0.176660,0.761446,2.164547,2.403778,0.602433,4.548494,0.809665,0.449189,1.521604
33,0.135435,0.662909,0.153160,0.224192,1.867455,0.381910,0.602430,4.332440,0.138082,0.079152,0.857716,2.038571,2.513649,0.809091,0.839470,1.934547,0.712947,0.602433,4.337590,0.788959,0.193371,1.477063
34,0.135435,0.662909,0.153160,0.224192,1.867455,0.027296,0.602430,4.332440,0.138082,0.079152,0.822255,0.766932,2.834144,0.808954,1.029193,1.915119,0.528581,0.602433,4.333871,0.746810,0.182809,1.374885
35,0.135435,0.662909,0.153160,0.224192,1.867455,0.022916,0.602430,4.332440,0.138082,0.078844,0.821786,0.135435,2.834045,0.175567,1.405880,2.594225,0.910065,0.602433,4.958400,0.148250,0.143339,1.390764
36,0.135435,0.662909,0.153160,0.224192,1.867455,0.022916,0.602430,4.332440,0.134472,0.078844,0.821425,1.345921,3.761579,0.819183,0.736295,2.570724,3.520950,0.602433,4.497974,0.137350,0.105531,1.809794
37,0.135435,0.662909,0.153160,0.224192,1.867455,0.022916,0.500033,4.332440,0.134472,0.078844,0.811186,1.158408,2.511349,0.263911,1.404349,2.546957,4.316522,0.650940,4.333861,0.136676,0.756068,1.807904
38,0.133908,0.662909,0.153160,0.224192,1.867455,0.022916,0.355620,4.332440,0.134428,0.078844,0.796587,0.150817,2.511238,1.286244,1.896726,1.885347,0.597540,0.573499,4.958791,0.159515,4.703601,1.872332
39,0.133908,0.662909,0.153160,0.224192,1.867455,0.022916,0.355620,4.332440,0.134428,0.078844,0.796587,0.795574,2.511050,0.175491,0.427872,1.880441,0.239828,0.548450,4.333329,0.159200,0.435931,1.150717
40,0.133889,0.662909,0.153160,0.224192,1.867455,0.022916,0.355620,4.332440,0.134428,0.078844,0.796585,0.153272,2.510865,0.730907,0.345025,1.876389,0.186176,1.087252,4.333329,0.134462,0.078937,1.143661
