Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,0.794742,0.363449,1.289362,8.421612,2.455096,2.810064,1.941607,4.671599,4.126281,1.082512,2.795632,58.693750,62.771127,61.538522,44.180593,25.153766,111.404879,29.573100,64.742240,148.166502,171.330266,77.755474
2,0.794742,0.363449,1.289362,4.446558,2.455096,2.207584,0.316665,1.180393,3.535762,1.082512,1.767212,19.643568,21.325323,18.764260,14.689404,25.799592,35.929577,15.630182,17.336791,66.761142,100.486445,33.636628
3,0.794742,0.363449,1.289362,3.974660,2.455096,2.136449,0.316665,0.111104,0.895314,1.082512,1.341935,5.606340,9.837306,9.626385,9.073355,9.850497,15.420817,4.575968,5.096064,6.905050,77.785842,15.377763
4,0.794742,0.363449,1.289362,3.967219,0.090168,2.096042,0.154673,0.111104,0.510786,0.518194,0.989574,2.843225,4.462241,4.599691,5.778510,4.775573,5.209835,1.265351,7.024708,5.362260,44.954842,8.627624
5,0.794742,0.083944,1.289362,3.966417,0.085645,1.819008,0.018629,0.111104,0.317408,0.518194,0.900445,2.697746,1.674247,4.459516,4.873833,2.216205,2.177628,1.967138,12.669428,1.045788,18.569568,5.235110
6,0.794742,0.083944,1.289362,3.963599,0.068545,1.819008,0.005218,0.111104,0.317408,0.518194,0.897112,1.122410,0.783849,4.335061,5.807575,2.513441,2.380622,0.545711,2.602776,1.857374,14.754835,3.670365
7,0.687024,0.083944,1.289362,3.963557,0.020502,1.819008,0.005218,0.111104,0.317408,0.518194,0.881532,1.104163,1.153479,3.912332,3.966278,0.890104,3.099688,0.173703,2.327617,1.587797,3.990787,2.220595
8,0.668341,0.083944,1.289362,3.963557,0.020502,1.743142,0.005218,0.111104,0.317408,0.518194,0.872077,0.994593,1.396748,3.280833,3.965679,0.086108,2.257690,0.642459,0.862985,0.946162,2.453646,1.688690
9,0.668341,0.083944,1.289362,3.963557,0.020502,1.507545,0.005197,0.069671,0.317408,0.518194,0.844372,1.968322,0.099657,2.575449,4.539759,0.066362,1.792869,0.016067,0.443617,5.755656,2.188103,1.944586
10,0.664322,0.083944,1.289362,3.963557,0.020502,1.507545,0.005024,0.069671,0.316809,0.518194,0.843893,1.567517,1.607270,2.429036,4.556203,0.057433,2.169831,0.009293,0.304805,5.571291,0.848799,1.912148
